escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_total_s,latencia_ms_por_reg,n_registros,recall_+90,f1_+90,auc_weighted,familia,nivel,seed,degradacion_f1_macro_pct
missing_aleatorio_5pct,0.5370934959349594,0.5627857653608409,0.5435674824835034,0.534157329819473,0.5358350790654688,0.5627857653608409,0.007363799959421158,0.0018708841360317982,3936,0.547271329746349,0.5869744435284419,0.7902348420611488,missing_aleatorio,0.05,107,4.637319312316906
missing_aleatorio_5pct,0.541920731707317,0.5695764458652811,0.5482598428720613,0.5388658387406652,0.5413480807559818,0.5695764458652811,0.0066213000100106,0.00168224085620188,3936,0.5526518063028439,0.5971760797342193,0.7924902362186531,missing_aleatorio,0.05,108,3.8140984982956017
missing_aleatorio_5pct,0.5454776422764228,0.5690986480356792,0.5508755395528717,0.5434548395236395,0.5439808647678037,0.5690986480356792,0.006243100040592253,0.0015861534655976254,3936,0.5580322828593389,0.5982694684796045,0.7925117325291676,missing_aleatorio,0.05,109,3.3552045147771414
missing_aleatorio_5pct,0.532520325203252,0.5590132802881382,0.539673777609792,0.5300551616072642,0.5326541213512821,0.5590132802881382,0.006414199946448207,0.001629623970134199,3936,0.5411222136817833,0.5864223240316535,0.7861810737290208,missing_aleatorio,0.05,110,5.320425175948269
missing_aleatorio_15pct,0.505589430894309,0.5195209793725948,0.5155075811749821,0.5080588621185081,0.517329607862548,0.5195209793725948,0.0064041001023724675,0.0016270579528385334,3936,0.5257494235203689,0.5576844679983693,0.7621411560030512,missing_aleatorio,0.15,101,9.560107181058905
missing_aleatorio_15pct,0.4956808943089431,0.509810856471326,0.5064186715479747,0.4988970909242892,0.5097547489828835,0.509810856471326,0.006806700024753809,0.0017293445184841994,3936,0.5003843197540354,0.5413721413721414,0.7553697712074697,missing_aleatorio,0.15,102,11.154652135439648
missing_aleatorio_15pct,0.5050813008130082,0.5171257976827246,0.5147870019187012,0.5084176844909509,0.5191857543179519,0.5171257976827246,0.006801099982112646,0.0017279217434229284,3936,0.5157571099154497,0.5502255022550225,0.7641248811054715,missing_aleatorio,0.15,103,9.686524547331302
missing_aleatorio_15pct,0.49771341463414637,0.5079877567244862,0.5057088149494606,0.5010967941084501,0.5101936294288549,0.5079877567244862,0.00940530002117157,0.0023895579322082243,3936,0.5196003074558032,0.552739165985282,0.7573645708282258,missing_aleatorio,0.15,104,11.279188334383809
missing_aleatorio_15pct,0.49009146341463417,0.5050253812474549,0.5021691357200713,0.49335258772817076,0.5068508208310738,0.5050253812474549,0.007021800032816827,0.001783993910776633,3936,0.49192928516525747,0.5317823016202742,0.7532389927325598,missing_aleatorio,0.15,105,11.900184458998982
missing_aleatorio_15pct,0.4916158536585366,0.5038318440864968,0.5019441720207076,0.4951582118761752,0.5060912778022325,0.5038318440864968,0.006712100002914667,0.0017053099600901087,3936,0.5088393543428132,0.5417348608837971,0.751008644719887,missing_aleatorio,0.15,106,11.939651759969081
missing_aleatorio_15pct,0.49136178861788615,0.5023674455168162,0.4998654385607272,0.4945337956730579,0.5044747105409778,0.5023674455168162,0.006664099986664951,0.0016931148340104043,3936,0.4973097617217525,0.5318536785861077,0.7520741614123039,missing_aleatorio,0.15,107,12.30434170476344
missing_aleatorio_15pct,0.4992378048780488,0.5143234857726746,0.5105211188829556,0.5023757971762262,0.5138032661470261,0.5143234857726746,0.008603199967183173,0.002185772349385969,3936,0.4980784012298232,0.5379825653798257,0.7571922113143071,missing_aleatorio,0.15,108,10.434924801022264
missing_aleatorio_15pct,0.5058434959349594,0.5183919846320875,0.5150957127321046,0.5084984416410201,0.5181329777881194,0.5183919846320875,0.006805600016377866,0.0017290650448114498,3936,0.5149884704073789,0.5467156262749898,0.7586154336978921,missing_aleatorio,0.15,109,9.63236477568911
missing_aleatorio_15pct,0.49364837398373984,0.5050644130534531,0.5030297060995222,0.49751659690392447,0.5084333348015828,0.5050644130534531,0.0083072999259457,0.002110594493380513,3936,0.5011529592621061,0.5426550145651269,0.7535674893125719,missing_aleatorio,0.15,110,11.749207255708768
missing_aleatorio_30pct,0.45172764227642276,0.4477377838053451,0.45234795204494616,0.45481918868647614,0.48997876188277556,0.4477377838053451,0.006775300018489361,0.0017213668746161993,3936,0.44504227517294387,0.4896405919661734,0.7225096324617701,missing_aleatorio,0.3,101,20.640739741272615
missing_aleatorio_30pct,0.4344512195121951,0.4311811303526039,0.43579213454061677,0.4377237783484014,0.471151832777384,0.4311811303526039,0.007433299906551838,0.0018885416429247554,3936,0.4396617986164489,0.48209018120522545,0.7097111631747326,missing_aleatorio,0.3,102,23.545268045606626
missing_aleatorio_30pct,0.4448678861788618,0.44183308408035715,0.44628174318000335,0.4479792286856911,0.4841080183502676,0.44183308408035715,0.007047399994917214,0.0017904979661883165,3936,0.4550345887778632,0.49169435215946844,0.7202815318982103,missing_aleatorio,0.3,103,21.70498651396268
missing_aleatorio_30pct,0.44410569105691056,0.4378599278584894,0.4429262428724299,0.44679473597706937,0.4798205938209451,0.4378599278584894,0.010094100027345121,0.0025645579337767073,3936,0.4573405073020753,0.49583333333333335,0.7190577644245589,missing_aleatorio,0.3,104,22.293670559072506
missing_aleatorio_30pct,0.43927845528455284,0.436291770910454,0.4416322602966555,0.4424453732151113,0.48295802563070755,0.436291770910454,0.006983499974012375,0.0017742632047795669,3936,0.4388931591083782,0.47963040739185214,0.7142140646008153,missing_aleatorio,0.3,105,22.520684961452147
missing_aleatorio_30pct,0.4344512195121951,0.4339697274161475,0.4401211066799304,0.4381555588236002,0.47998174157805895,0.4339697274161475,0.007125300006009638,0.0018102896356731806,3936,0.4166026133743274,0.45893310753598643,0.7078537668918672,missing_aleatorio,0.3,106,22.78579953225646
missing_aleatorio_30pct,0.43546747967479676,0.43020429309267183,0.4343053233624687,0.4377751924068829,0.4724085555738511,0.43020429309267183,0.006848399993032217,0.0017399390226199738,3936,0.4358186010760953,0.4790874524714829,0.7107071178462013,missing_aleatorio,0.3,107,23.806112014743277
missing_aleatorio_30pct,0.44385162601626016,0.44293123789206607,0.44934038237039964,0.44813754523026633,0.488095678988161,0.44293123789206607,0.006731800036504865,0.0017103150499250166,3936,0.43735588009223675,0.4773489932885906,0.7164726100176475,missing_aleatorio,0.3,108,21.168383347194982
missing_aleatorio_30pct,0.4400406504065041,0.4387280150462004,0.4456625001641843,0.4440274095566348,0.486706857216628,0.4387280150462004,0.006589900003746152,0.00167426321233388,3936,0.43658724058416604,0.4723492723492724,0.705358732174337,missing_aleatorio,0.3,109,21.813625599059947
missing_aleatorio_30pct,0.43902439024390244,0.4354354698361084,0.44172756586641787,0.4435533941006973,0.48107278773509504,0.4354354698361084,0.00784639990888536,0.001993495911810305,3936,0.44811683320522677,0.4919831223628692,0.7108551565387266,missing_aleatorio,0.3,110,22.50396469228615
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.006290000048466027,0.00159806911800458,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,101,13.993750519015446
missing_dirigido_gestion,0.5043191056910569,0.47852519517687386,0.49023580473094946,0.4940234246398271,0.5641051631443165,0.47852519517687386,0.0064359999960288405,0.0016351626006170835,3936,0.5357417371252883,0.5091307523739956,0.7335901241527693,missing_dirigido,1.0,102,13.993750519015446
